Ticker: MSFT | Train: 1035 | Test: 346
....................Iter 1140 | ω=0.199158 α=0.0841 γ=0.2152 β=0.7578 | Persist=0.9495
....................Iter 1150 | ω=0.201021 α=0.0842 γ=0.2134 β=0.7588 | Persist=0.9497
....................Iter 1160 | ω=0.200032 α=0.0848 γ=0.2124 β=0.7587 | Persist=0.9497
....................Iter 1170 | ω=0.200494 α=0.0844 γ=0.2121 β=0.7592 | Persist=0.9497
....................Iter 1180 | ω=0.200611 α=0.0842 γ=0.2129 β=0.7591 | Persist=0.9497
....................Iter 1190 | ω=0.200204 α=0.0841 γ=0.2122 β=0.7595 | Persist=0.9498
....................Iter 1200 | ω=0.201149 α=0.0842 γ=0.2123 β=0.7595 | Persist=0.9499
....................Iter 1210 | ω=0.199950 α=0.0836 γ=0.2160 β=0.7583 | Persist=0.9499
....................Iter 1220 | ω=0.200900 α=0.0834 γ=0.2153 β=0.7588 | Persist=0.9499
....................Iter 1230 | ω=0.203098 α=0.0836 γ=0.2131 β=0.7600 | Persist=0.9501
....................Iter 1240 | ω=0.200769 α=0.0834 γ=0.2150 β=0.7589 | Persist=0.9498
....................Iter 1250 | ω=0.199102 α=0.0836 γ=0.2150 β=0.7586 | Persist=0.9497
....................Iter 1260 | ω=0.202219 α=0.0834 γ=0.2128 β=0.7600 | Persist=0.9498
....................Iter 1270 | ω=0.199129 α=0.0832 γ=0.2160 β=0.7583 | Persist=0.9495
....................Iter 1280 | ω=0.200408 α=0.0829 γ=0.2164 β=0.7585 | Persist=0.9496
....................Iter 1290 | ω=0.200767 α=0.0829 γ=0.2152 β=0.7590 | Persist=0.9495
....................Iter 1300 | ω=0.200738 α=0.0829 γ=0.2150 β=0.7590 | Persist=0.9494
....................Iter 1310 | ω=0.200979 α=0.0830 γ=0.2150 β=0.7590 | Persist=0.9495
....................Iter 1320 | ω=0.199325 α=0.0830 γ=0.2163 β=0.7581 | Persist=0.9493
....................Iter 1330 | ω=0.199773 α=0.0834 γ=0.2147 β=0.7585 | Persist=0.9492
....................Iter 1340 | ω=0.200545 α=0.0837 γ=0.2131 β=0.7589 | Persist=0.9492
....................Iter 1350 | ω=0.198575 α=0.0838 γ=0.2142 β=0.7580 | Persist=0.9489
....................Iter 1360 | ω=0.201229 α=0.0839 γ=0.2126 β=0.7591 | Persist=0.9493
....................Iter 1370 | ω=0.200410 α=0.0836 γ=0.2148 β=0.7583 | Persist=0.9493
....................Iter 1380 | ω=0.200710 α=0.0837 γ=0.2146 β=0.7584 | Persist=0.9493
....................Iter 1390 | ω=0.202775 α=0.0839 γ=0.2119 β=0.7598 | Persist=0.9496
....................Iter 1400 | ω=0.200563 α=0.0839 γ=0.2147 β=0.7582 | Persist=0.9495
....................Iter 1410 | ω=0.199083 α=0.0837 γ=0.2166 β=0.7574 | Persist=0.9494
....................Iter 1420 | ω=0.201541 α=0.0834 γ=0.2144 β=0.7588 | Persist=0.9494
....................Iter 1430 | ω=0.200864 α=0.0832 γ=0.2157 β=0.7585 | Persist=0.9495
....................Iter 1440 | ω=0.198627 α=0.0832 γ=0.2181 β=0.7572 | Persist=0.9494
....................Iter 1450 | ω=0.200549 α=0.0834 γ=0.2140 β=0.7590 | Persist=0.9494
....................Iter 1460 | ω=0.202918 α=0.0829 γ=0.2141 β=0.7598 | Persist=0.9497
....................Iter 1470 | ω=0.199286 α=0.0826 γ=0.2175 β=0.7581 | Persist=0.9494
....................Iter 1480 | ω=0.199844 α=0.0827 γ=0.2182 β=0.7579 | Persist=0.9496
....................Iter 1490 | ω=0.201093 α=0.0825 γ=0.2163 β=0.7589 | Persist=0.9496
..................done in: 0:09:41.116097
Saved: gjr_elbo_convergence.png

Computing performance metrics from 7000 posterior samples...

Running QML...
  [✓] Restart  1 | nll=1920.96 | ω=0.1817 α=0.0768 γ=0.2060 β=0.7730
  [✓] Restart  2 | nll=1920.96 | ω=0.1817 α=0.0768 γ=0.2060 β=0.7730
  [✓] Restart  3 | nll=1920.96 | ω=0.1816 α=0.0768 γ=0.2060 β=0.7730
  [✓] Restart  4 | nll=1920.96 | ω=0.1817 α=0.0768 γ=0.2060 β=0.7730
  [✓] Restart  5 | nll=1920.96 | ω=0.1817 α=0.0768 γ=0.2060 β=0.7730

======================================================================
Metric       BBVI Train    BBVI Test    QML Train     QML Test
----------------------------------------------------------------------
NLL              1.8561       2.1966       1.8560       2.1959
RMSE            10.5031       7.9890      10.5217       7.9671
MAD              3.7010       4.5115       3.6852       4.4933
Qlik             1.8744       2.5553       1.8741       2.5540
======================================================================

BBVI posterior mean: ω=0.20090 α=0.0827 γ=0.2157 β=0.7590
QML point estimate: ω=0.18165 α=0.0768 γ=0.2060 β=0.7730
Saved: gjr_conditional_volatility.png
Saved: gjr_param_distributions.png
